,auto_increment_increment,auto_increment_offset,
,character_set_filesystem,character_set_client,
,create_admin_listener_thread,admin_address,
,delay_key_write,myisam_recover_options,
,flush,flush_time,
,flush_time,flush,
,host_cache_size,max_connections,
,key_buffer_size,key_cache_block_size,
,max_allowed_packet,net_buffer_length,
,max_connect_errors,flush,
,max_connections,open_files_limit,
,max_heap_table_size,tmp_table_size,
,max_join_size,sql_big_selects,
,max_sp_recursion_depth,thread_stack,
A>B,net_buffer_length,max_allowed_packet,
,net_read_timeout,net_write_timeout,
IF A>B A = ,open_files_limit,max_connections,
,read_buffer_size,select_into_buffer_size,
,require_secure_transport,socket,shared_memory
,select_into_buffer_size,read_buffer_size,select_into_disk_sync_delay
,sort_buffer_size,max_sort_length,
IF A>B A = ,table_open_cache,open_files_limit,max_connections
,table_open_cache_instances,table_open_cache,
,temptable_use_mmap,temptable_max_ram,
Not Exist,thread_pool_max_transactions_limit,thread_pool_dedicated_listeners,
A>B,thread_pool_query_threads_per_group,thread_pool_max_transactions_limit,
IF A>B A is used,tmp_table_size,max_heap_table_size,
,transaction_prealloc_size,transaction_alloc_block_size,
,wait_timeout,interactive_timeout,
