max_heap_table_size,"1. 该变量设置用户创建的MEMORY表允许增长的最大大小。该变量的值用于计算MEMORY表的MAX_ROWS值。块大小为1024。在存储系统变量的值之前，MySQL服务器将不是块大小的精确倍数的值四舍五入到块大小的下一个较小的倍数。解析器允许平台的最大无符号整数值(32位系统为4294967295或232\xe2\x88\x921, 64位系统为18446744073709551615或264\xe2\x88\x921)，但实际最大值比块大小低。设置这个变量对任何现有的MEMORY没有影响，除非用CREATE TABLE这样的语句重新创建这个表，或者用ALTER TABLE或TRUNCATE TABLE修改这个表。服务器重启还将现有MEMORY表的最大大小设置为全局max_heap_table_size值。这个变量还与tmp_table_size一起使用，以限制内部内存表的大小。参见\xc2\xa08.4.4节，\xe2\x80\ x9c在MySQL中的内部临时表使用\xe2\x80\x9d。Max_heap_table_size没有被复制。有关更多信息，请参阅\xc2\xa017.5.1.21节，\xe2\x80\ x9复制和MEMORY表\xe2\x80\x9d，以及\xc2\xa017.5.1.39节，\xe2\x80\ x9复制和变量\xe2\x80\x9d。”",max_heap_table_size,buffer
tmp_table_size,2. 定义由MEMORY引擎和TempTable存储引擎(从MySQL 8.0.28开始)创建的内部内存临时表的最大大小。如果一个内部内存临时表超过了这个大小，它会自动转换为磁盘上的内部临时表。tmp_table_size变量不适用于用户创建的MEMORY表。不支持用户创建TempTable表。当对内部内存临时表使用MEMORY存储引擎时，实际大小限制是tmp_table_size和max_heap_table_size中较小的一个。max_heap_table_size设置不适用于TempTable表。如果您执行许多高级GROUP BY查询并且您有大量内存，则增加tmp_table_size的值(在对内部内存临时表使用MEMORY存储引擎时，如果需要，还可以增加max_heap_table_size)。你可以通过比较Created_tmp_disk_tables和Created_tmp_tables的值来比较创建的内部暂存表的数量和创建的内部暂存表的总数。另请参阅\xc2\xa08.4.4， \xe2\x80\x9c在MySQL中的内部临时表使用\xe2\x80\x9d。”,tmp_table_size,buffer
end_markers_in_json,3. 优化器JSON输出是否应该添加结束标记。参见MySQL内部:end_markers_in_json系统变量。”,end_markers_in_json,error
windowing_use_high_precision,4. 是否在不损失精度的情况下计算窗口操作。参见\xc2\xa08.2.1.21节，\xe2\x80\x9cWindow Function Optimization\xe2\x80\x9d。”,windowing_use_high_precision,0
optimizer_switch,5. Batched_key_access ={开、关}block_nested_loop={开、关}condition_fanout_filter={开、关}derived_condition_pushdown={开、关}duplicateweedout={开、关}engine_condition_pushdown={开、关}firstmatch={开、关}hash_join={开、关}index_condition_pushdown={开、关}index_merge_intersection={开、关}index_merge_sort_union={开、关}index_merge_union={开、关}index_merge_union={开、关}mrr={开、关}mrr_cost_based={开、关}prefer_ordering_index={on|off} semijoin={on|off} skip_scan={on|off} subquery_materialization_cost_based={on|off} subquery_to_derived={on|off} use_index_extensions={on|off} use_invisible_indexes={on|off} optimizer_switch系统变量启用对优化器行为的控制。该变量的值是一组标志，每个标志都有一个on或off的值，以指示相应的优化器行为是启用还是禁用。这个变量有全局值和会话值，可以在运行时修改。全局默认值可以在服务器启动时设置。要查看当前优化器标志集，请选择变量值:有关此变量的语法及其控制的优化器行为的更多信息，请参见\xc2\xa08.9.2， \xe2\x80\x9cSwitchable Optimizations\xe2\x80\x9d节。”,optimizer_switch,memory
optimizer_trace,6. 这个变量控制优化器跟踪。详细信息请参见MySQL内部:跟踪优化器。”,optimizer_trace,error
optimizer_trace_features,7. 此变量启用或禁用选定的优化器跟踪功能。详细信息请参见MySQL内部:跟踪优化器。”,optimizer_trace_features,error
optimizer_trace_offset,8. 优化器跟踪显示的偏移量。详细信息请参见MySQL内部:跟踪优化器。”,optimizer_trace_offset,error
optimizer_trace_limit,9. 要显示的优化器跟踪的最大数量。详细信息请参见MySQL内部:跟踪优化器。”,optimizer_trace_limit,error
optimizer_trace_max_mem_size,10. 存储的优化器跟踪的最大累积大小。详细信息请参见MySQL内部:跟踪优化器。”,optimizer_trace_max_mem_size,error
