absolute_redirect,"If disabled, redirects issued by nginx will be relative.See also server_name_in_redirectand port_in_redirect directives."
aio,"Enables or disables the use of asynchronous file I/O (AIO)on FreeBSD and Linux:On FreeBSD, AIO can be used starting from FreeBSD\xc2\xa04.3.Prior to FreeBSD\xc2\xa011.0,AIO can either be linked statically into a kernel:or loaded dynamically as a kernel loadable module:On Linux, AIO can be used starting from kernel version 2.6.22.Also, it is necessary to enabledirectio,or otherwise reading will be blocking:On Linux,directiocan only be used for reading blocks that are aligned on 512-byteboundaries (or 4K for XFS).File\xe2\x80\x99s unaligned end is read in blocking mode.The same holds true for byte range requests and for FLV requestsnot from the beginning of a file: reading of unaligned data at thebeginning and end of a file will be blocking.When both AIO and sendfile are enabled on Linux,AIO is used for files that are larger than or equal tothe size specified in the directio directive,while sendfile is used for files of smaller sizesor when directio is disabled.Finally, files can be read and sentusing multi-threading (1.7.11),without blocking a worker process:Read and send file operations are offloaded to threads of the specifiedpool.If the pool name is omitted,the pool with the name \xe2\x80\x9cdefault\xe2\x80\x9d is used.The pool name can also be set with variables:By default, multi-threading is disabled, it should beenabled with the--with-threads configuration parameter.Currently, multi-threading is compatible only with theepoll,kqueue,andeventport methods.Multi-threaded sending of files is only supported on Linux.See also the sendfile directive."
aio_write,"If aio is enabled, specifies whether it is used for writing files.Currently, this only works when usingaio threadsand is limited to writing temporary fileswith data received from proxied servers."
alias,"Defines a replacement for the specified location.For example, with the following configurationon request of\xe2\x80\x9c/i/top.gif\xe2\x80\x9d, the file/data/w3/images/top.gif will be sent.The path value can contain variables,except $document_root and $realpath_root.If alias is used inside a location definedwith a regular expression then such regular expression shouldcontain captures and alias should refer tothese captures (0.7.40), for example:When location matches the last part of the directive\xe2\x80\x99s value:it is better to use therootdirective instead:"
auth_delay,"Delays processing of unauthorized requests with 401 response codeto prevent timing attacks when access is limited bypassword, by theresult of subrequest,or by JWT."
chunked_transfer_encoding,Allows disabling chunked transfer encoding in HTTP/1.1.It may come in handy when using a software failing to supportchunked encoding despite the standard\xe2\x80\x99s requirement.
client_body_buffer_size,"Sets buffer size for reading client request body.In case the request body is larger than the buffer,the whole body or only its part is written to atemporary file.By default, buffer size is equal to two memory pages.This is 8K on x86, other 32-bit platforms, and x86-64.It is usually 16K on other 64-bit platforms."
client_body_in_file_only,"Determines whether nginx should save the entire client request bodyinto a file.This directive can be used during debugging, or when using the$request_body_filevariable, or the$r->request_body_filemethod of the modulengx_http_perl_module.When set to the value on, temporary files are notremoved after request processing.The value clean will cause the temporary filesleft after request processing to be removed."
client_body_in_single_buffer,"Determines whether nginx should save the entire client request bodyin a single buffer.The directive is recommended when using the$request_bodyvariable, to save the number of copy operations involved."
client_body_temp_path,"Defines a directory for storing temporary files holding client request bodies.Up to three-level subdirectory hierarchy can be used under the specifieddirectory.For example, in the following configurationa path to a temporary file might look like this:"
client_body_timeout,"Defines a timeout for reading client request body.The timeout is set only for a period between two successive read operations,not for the transmission of the whole request body.If a client does not transmit anything within this time, therequest is terminated with the408 (Request Time-out)error."
client_header_buffer_size,"Sets buffer size for reading client request header.For most requests, a buffer of 1K bytes is enough.However, if a request includes long cookies, or comes from a WAP client,it may not fit into 1K.If a request line or a request header field does not fit intothis buffer then larger buffers, configured by thelarge_client_header_buffers directive,are allocated.If the directive is specified on the server level,the value from the default server can be used.Details are provided in the\xe2\x80\x9cVirtualserver selection\xe2\x80\x9d section."
client_header_timeout,"Defines a timeout for reading client request header.If a client does not transmit the entire header within this time, therequest is terminated with the408 (Request Time-out)error."
client_max_body_size,"Sets the maximum allowed size of the client request body.If the size in a request exceeds the configured value, the413 (Request Entity Too Large)error is returned to the client.Please be aware thatbrowsers cannot correctly displaythis error.Setting size to 0 disables checking of clientrequest body size."
connection_pool_size,"Allows accurate tuning of per-connection memory allocations.This directive has minimal impact on performanceand should not generally be used.By default, the size is equal to256 bytes on 32-bit platforms and 512 bytes on 64-bit platforms."
default_type,Defines the default MIME type of a response.Mapping of file name extensions to MIME types can be setwith the types directive.
directio,"Enables the use ofthe O_DIRECT flag (FreeBSD, Linux),the F_NOCACHE flag (macOS),or the directio() function (Solaris),when reading files that are larger than or equal tothe specified size.The directive automatically disables (0.7.15) the use ofsendfilefor a given request.It can be useful for serving large files:or when using aio on Linux."
directio_alignment,"Sets the alignment fordirectio.In most cases, a 512-byte alignment is enough.However, when using XFS under Linux, it needs to be increased to 4K."
disable_symlinks,"Determines how symbolic links should be treated when opening files:Example:This directive is only available on systems that have theopenat() and fstatat() interfaces.Such systems include modern versions of FreeBSD, Linux, and Solaris.Parameters on and if_not_owneradd a processing overhead."
