tls-auth-clients,port
tls-session-cache-timeout,timeout
daemonize,supervised
locale-collate,port
stop-writes-on-bgsave-error,save,*
rdbcompression,save
sanitize-dump-payload,ACL
replica-serve-stale-data,masteruser
repl-timeout,timeout,repl-ping-replica-period
replica-announced,replica-priority
replica-announce-ip,min-replicas-to-write,min-replicas-max-lag,port
ACL,acl-pubsub-default,*
acllog-max-len,ACL
aclfile,ACL
requirepass,ACL,aclfile
acl-pubsub-default,ACL
maxmemory-policy,maxmemory
maxmemory-samples,save
replica-ignore-maxmemory,maxmemory
lazyfree-lazy-eviction,maxmemory
io-threads-do-reads,io-threads
disable-thp,oom-score-adj
appendonly,save
no-appendfsync-on-rewrite,save
shutdown-on-sigint,save
cluster-node-timeout,timeout
cluster-port,port
cluster-replica-validity-factor,*,repl-ping-replica-period
cluster-migration-barrier,cluster-allow-replica-migration
cluster-preferred-endpoint-type,port
cluster-announce-ip,tls-cluster,cluster-announce-tls-port,cluster-announce-port
latency-monitor-threshold,LATENCY
latency-tracking,LATENCY
list-max-listpack-size,save
zset-max-listpack-entries,save
client-query-buffer-limit,repl-backlog-size
maxmemory-clients,maxmemory
lfu-log-factor,maxmemory,lfu-decay-time
